age_cat,stab,variable,value
30,MA,female,236220
30,MD,female,200119
30,ME,female,36533
30,MI,female,308123
30,MN,female,181299
30,MO,female,200288
30,MS,female,92303
30,MT,female,30766
30,NC,female,335897
30,ND,female,27936
30,NE,female,56927
30,NH,female,34505
30,NJ,female,281715
30,NM,female,64729
30,NV,female,107666
30,NY,female,731057
30,OH,female,374561
30,OK,female,133012
30,OR,female,138886
30,PA,female,411341
30,RI,female,37026
30,SC,female,151888
30,SD,female,26321
30,TN,female,227533
30,TX,female,964897
30,UT,female,106138
30,VA,female,286567
30,VT,female,20237
30,WA,female,256162
30,WI,female,181218
30,WV,female,54694
30,WY,female,20644
35,AK,female,25611
35,AL,female,160611
35,AR,female,97049
35,AZ,female,217122
35,CA,female,1372672
35,CO,female,200246
35,CT,female,108680
35,DC,female,35996
35,DE,female,30808
35,FL,female,619495
35,GA,female,343967
35,HI,female,46254
35,IA,female,100851
35,ID,female,55870
35,IL,female,440352
35,IN,female,213385
35,KS,female,97840
35,KY,female,137877
35,LA,female,157996
35,MA,female,225389
35,MD,female,211644
35,ME,female,36878
35,MI,female,306697
35,MN,female,188574
35,MO,female,198432
35,MS,female,95249
35,MT,female,32360
35,NC,female,320808
35,ND,female,22040
35,NE,female,62705
35,NH,female,38716
35,NJ,female,284860
35,NM,female,65349
35,NV,female,97647
35,NY,female,674473
35,OH,female,363909
35,OK,female,130713
35,OR,female,141916
35,PA,female,385002
35,RI,female,33241
35,SC,female,157866
35,SD,female,27145
35,TN,female,212672
35,TX,female,986808
35,UT,female,107009
35,VA,female,295532
35,VT,female,17953
35,WA,female,254470
35,WI,female,185893
35,WV,female,57599
35,WY,female,21131
40,AK,female,18561
40,AL,female,154907
40,AR,female,88765
40,AZ,female,208419
40,CA,female,1288900
40,CO,female,179114
40,CT,female,102933
40,DC,female,25798
40,DE,female,29919
40,FL,female,618925
40,GA,female,369237
40,HI,female,43562
40,IA,female,89098
40,ID,female,47394
40,IL,female,440305
40,IN,female,203102
40,KS,female,89384
40,KY,female,143314
40,LA,female,149911
40,MA,female,207972
40,MD,female,195224
40,ME,female,38888
40,MI,female,282297
40,MN,female,162261
40,MO,female,179538
40,MS,female,94882
40,MT,female,28006
40,NC,female,326392
40,ND,female,22484
40,NE,female,61887
40,NH,female,38916
40,NJ,female,296052
40,NM,female,58823
40,NV,female,94098
40,NY,female,640114
40,OH,female,341489
40,OK,female,112595
40,OR,female,128706
40,PA,female,373827
40,RI,female,30322
40,SC,female,141686
40,SD,female,24905
40,TN,female,208991
40,TX,female,931770
40,UT,female,105843
40,VA,female,268619
40,VT,female,17099
40,WA,female,227615
40,WI,female,167833
40,WV,female,55654
40,WY,female,16252
45,AK,female,22319
45,AL,female,157152
45,AR,female,91953
45,AZ,female,211264
45,CA,female,1321719
45,CO,female,177916
45,CT,female,123283
45,DC,female,22222
45,DE,female,28280
45,FL,female,636857
45,GA,female,366434
45,HI,female,45918
45,IA,female,91093
